Starting verification process for upload/live_test.csv
PROGRESS|pass=READ INPUT|current=0|total=1000|percent=0|stage=READ INPUT
Found 990 unique domains to check
PROGRESS|pass=HEAD|current=0|total=990|percent=0|stage=HEAD scan
PROGRESS|pass=HEAD|current=10|total=990|percent=1|stage=HEAD scan
PROGRESS|pass=HEAD|current=20|total=990|percent=2|stage=HEAD scan
PROGRESS|pass=HEAD|current=30|total=990|percent=3|stage=HEAD scan
PROGRESS|pass=HEAD|current=40|total=990|percent=4|stage=HEAD scan
PROGRESS|pass=HEAD|current=50|total=990|percent=5|stage=HEAD scan
PROGRESS|pass=HEAD|current=60|total=990|percent=6|stage=HEAD scan
PROGRESS|pass=HEAD|current=70|total=990|percent=7|stage=HEAD scan
PROGRESS|pass=HEAD|current=80|total=990|percent=8|stage=HEAD scan
PROGRESS|pass=HEAD|current=90|total=990|percent=9|stage=HEAD scan
PROGRESS|pass=HEAD|current=100|total=990|percent=10|stage=HEAD scan
PROGRESS|pass=HEAD|current=110|total=990|percent=11|stage=HEAD scan
PROGRESS|pass=HEAD|current=120|total=990|percent=12|stage=HEAD scan
PROGRESS|pass=HEAD|current=130|total=990|percent=13|stage=HEAD scan
PROGRESS|pass=HEAD|current=140|total=990|percent=14|stage=HEAD scan
PROGRESS|pass=HEAD|current=150|total=990|percent=15|stage=HEAD scan
PROGRESS|pass=HEAD|current=160|total=990|percent=16|stage=HEAD scan
PROGRESS|pass=HEAD|current=170|total=990|percent=17|stage=HEAD scan
PROGRESS|pass=HEAD|current=180|total=990|percent=18|stage=HEAD scan
PROGRESS|pass=HEAD|current=190|total=990|percent=19|stage=HEAD scan
PROGRESS|pass=HEAD|current=200|total=990|percent=20|stage=HEAD scan
PROGRESS|pass=HEAD|current=210|total=990|percent=21|stage=HEAD scan
PROGRESS|pass=HEAD|current=220|total=990|percent=22|stage=HEAD scan
PROGRESS|pass=HEAD|current=230|total=990|percent=23|stage=HEAD scan
PROGRESS|pass=HEAD|current=240|total=990|percent=24|stage=HEAD scan
PROGRESS|pass=HEAD|current=250|total=990|percent=25|stage=HEAD scan
PROGRESS|pass=HEAD|current=260|total=990|percent=26|stage=HEAD scan
PROGRESS|pass=HEAD|current=270|total=990|percent=27|stage=HEAD scan
PROGRESS|pass=HEAD|current=280|total=990|percent=28|stage=HEAD scan
PROGRESS|pass=HEAD|current=290|total=990|percent=29|stage=HEAD scan
PROGRESS|pass=HEAD|current=300|total=990|percent=30|stage=HEAD scan
PROGRESS|pass=HEAD|current=310|total=990|percent=31|stage=HEAD scan
PROGRESS|pass=HEAD|current=320|total=990|percent=32|stage=HEAD scan
PROGRESS|pass=HEAD|current=330|total=990|percent=33|stage=HEAD scan
PROGRESS|pass=HEAD|current=340|total=990|percent=34|stage=HEAD scan
PROGRESS|pass=HEAD|current=350|total=990|percent=35|stage=HEAD scan
PROGRESS|pass=HEAD|current=360|total=990|percent=36|stage=HEAD scan
PROGRESS|pass=HEAD|current=370|total=990|percent=37|stage=HEAD scan
PROGRESS|pass=HEAD|current=380|total=990|percent=38|stage=HEAD scan
PROGRESS|pass=HEAD|current=390|total=990|percent=39|stage=HEAD scan
PROGRESS|pass=HEAD|current=400|total=990|percent=40|stage=HEAD scan
PROGRESS|pass=HEAD|current=410|total=990|percent=41|stage=HEAD scan
PROGRESS|pass=HEAD|current=420|total=990|percent=42|stage=HEAD scan
PROGRESS|pass=HEAD|current=430|total=990|percent=43|stage=HEAD scan
PROGRESS|pass=HEAD|current=440|total=990|percent=44|stage=HEAD scan
